Country Name,num,2021,res
Finland,1004,5541017.0,0.0001811941742824467
Macedonia,242,2065092.0,0.00011718606241271576
Iceland,40,372520.0,0.00010737678513905293
Sweden,1034,10415811.0,9.927215461186844e-05
Faroe Islands,4,52889.0,7.563009321408988e-05
Norway,344,5408320.0,6.360570380450861e-05
Croatia,216,3899000.0,5.5398820210310336e-05
Malta,20,518536.0,3.857012820710616e-05
Poland,1360,37747124.0,3.602923496900055e-05
Montenegro,22,619211.0,3.552908459313546e-05
Estonia,40,1330932.0,3.005412748359796e-05
Australia,760,25688079.0,2.9585707829690184e-05
Ireland,142,5033165.0,2.82128640726064e-05
Lithuania,66,2800839.0,2.356436767697108e-05
Netherlands,388,17533044.0,2.2129642747716827e-05
United Kingdom,1358,67326569.0,2.0170343152344507e-05
Slovenia,42,2108079.0,1.9923352018591335e-05
New Zealand,102,5122600.0,1.9911763557568423e-05
Hungary,182,9709891.0,1.8743773745760896e-05
Germany,1388,83196078.0,1.668347875725584e-05
Bosnia and Herzegovina,52,3270943.0,1.589755614818112e-05
Italy,928,59109668.0,1.5699631403783218e-05
Belize,6,400031.0,1.4998837590086769e-05
Denmark,80,5856733.0,1.3659492416676669e-05
France,892,67749632.0,1.3166123175399683e-05
Uruguay,44,3426260.0,1.2841990975582705e-05
Serbia,86,6834326.0,1.2583537864597036e-05
Greece,126,10641221.0,1.1840746470729252e-05
Cyprus,14,1244188.0,1.1252318781406025e-05
Belgium,128,11592952.0,1.104119123412225e-05
Bulgaria,74,6877743.0,1.0759343581171905e-05
Trinidad and Tobago,16,1525663.0,1.04872439064197e-05
Canada,362,38246108.0,9.465015368361142e-06
Switzerland,72,8703405.0,8.272624334958559e-06
Qatar,22,2688235.0,8.183808335208789e-06
Israel,74,9364000.0,7.902605724049552e-06
Portugal,76,10325147.0,7.360670022421957e-06
Romania,126,19119880.0,6.589999518825432e-06
Latvia,12,1884490.0,6.367770590451528e-06
United States,2060,331893745.0,6.206805735371723e-06
Chile,114,19493184.0,5.8481980162912326e-06
Spain,256,47415750.0,5.3990498937589304e-06
Czech Republic,54,10505772.0,5.140031594060865e-06
Tunisia,62,12262946.0,5.055881351838294e-06
Moldova,12,2615199.0,4.588560946987208e-06
Georgia,16,3708610.0,4.314284866836901e-06
Austria,38,8955797.0,4.243061784450898e-06
Argentina,180,45808747.0,3.929380561315069e-06
Russian Federation,546,143449286.0,3.8062231972350146e-06
Slovakia,18,5447247.0,3.30442148116287e-06
Jordan,36,11148278.0,3.22919826721221e-06
Brazil,586,214326223.0,2.7341498011654877e-06
South Korea,140,51744876.0,2.7055819014814144e-06
Hong Kong,20,7413100.0,2.6979266433745667e-06
Singapore,14,5453566.0,2.56712763721939e-06
Japan,288,125681593.0,2.291505009806806e-06
Turkey,194,84775404.0,2.2883995928819165e-06
Malaysia,76,33573874.0,2.2636648961034403e-06
Lebanon,12,5592631.0,2.1456806286701196e-06
Philippines,236,113880328.0,2.0723508980409683e-06
Saudi Arabia,74,35950396.0,2.0583917907329865e-06
Costa Rica,10,5153957.0,1.940256777462443e-06
Puerto Rico,6,3263584.0,1.838469608871719e-06
Thailand,128,71601103.0,1.7876819579162069e-06
Mexico,194,126705138.0,1.531113915838204e-06
Paraguay,10,6703799.0,1.4916915020871001e-06
Indonesia,358,273753191.0,1.3077473131628262e-06
Libya,8,6735277.0,1.1877759444786012e-06
Taiwan,24,23570000.0,1.0182435299109038e-06
Sri Lanka,16,22156000.0,7.221520129987363e-07
Iraq,28,43533592.0,6.431814769615151e-07
Ukraine,28,43792855.0,6.393737060531907e-07
Colombia,30,51516562.0,5.823369967894985e-07
Laos,4,7425057.0,5.387164031198683e-07
Ethiopia,54,120283026.0,4.4894114985101885e-07
Vietnam,42,97468029.0,4.3091052964659827e-07
Peru,14,33715471.0,4.1523963879964777e-07
South Africa,22,59392255.0,3.704186682253435e-07
El Salvador,2,6314167.0,3.1674803659770165e-07
Kyrgyzstan,2,6691800.0,2.9887324785558443e-07
United Arab Emirates,2,9365145.0,2.13557825319309e-07
India,298,1407563842.0,2.1171330998143102e-07
Kazakhstan,4,19000988.0,2.105153689902862e-07
Uganda,6,45853778.0,1.3085072292189315e-07
Egypt,14,109262178.0,1.281321703105717e-07
Cambodia,2,16589023.0,1.2056165091820054e-07
Guatemala,2,17109746.0,1.1689244247109221e-07
Ecuador,2,17797737.0,1.1237383719064957e-07
Sudan,4,45657202.0,8.7609398403345e-08
China,4,1412360000.0,2.832139114673313e-09
