Country Name,num,res
Greenland,14,0.00024711842267841067
Finland,664,0.00011983359733420778
Sweden,936,8.986338173762945e-05
Macedonia,144,6.973054953483913e-05
Norway,278,5.14022838885273e-05
Hungary,426,4.387278909722056e-05
Faroe Islands,2,3.781504660704494e-05
Lithuania,92,3.284730039820211e-05
Netherlands,512,2.920200280111086e-05
Serbia,166,2.4289154482826837e-05
Poland,908,2.4054812758715073e-05
Israel,218,2.3280649295173004e-05
Bosnia and Herzegovina,76,2.3234889755033944e-05
Estonia,26,1.9535182864338674e-05
Malta,10,1.928506410355308e-05
Croatia,74,1.8979225442421132e-05
United Kingdom,1118,1.6605628604065655e-05
Ireland,82,1.6291935591223415e-05
Belgium,166,1.4319044881752292e-05
Italy,826,1.3974025365867391e-05
Latvia,26,1.3796836279311644e-05
Germany,1090,1.3101579139343563e-05
Portugal,124,1.2009514247109508e-05
New Zealand,60,1.1712802092687307e-05
Australia,284,1.1055711873200016e-05
Austria,98,1.094263302305758e-05
Lebanon,60,1.0728403143350598e-05
Slovenia,22,1.0436041533547841e-05
Bulgaria,68,9.886964371887696e-06
Georgia,36,9.707140950383027e-06
Montenegro,6,9.689750343582398e-06
Switzerland,68,7.813034094127528e-06
Tunisia,92,7.502275554340695e-06
France,478,7.055388876503418e-06
Romania,126,6.589999518825432e-06
Singapore,32,5.86772031364432e-06
Spain,276,5.820850666708847e-06
Greece,60,5.638450700347263e-06
Iceland,2,5.368839256952647e-06
Canada,192,5.020118648412539e-06
Denmark,28,4.780822345836834e-06
United States,1322,3.983202515612339e-06
Jordan,38,3.4085981709462216e-06
Hong Kong,22,2.9677193077120233e-06
Albania,8,2.8452881672289666e-06
Morocco,100,2.6971201014635006e-06
Chile,52,2.6675990951503868e-06
Turkey,226,2.6658675669655316e-06
Brazil,566,2.6408341082929458e-06
Puerto Rico,8,2.4512928118289585e-06
Malaysia,72,2.1445246384137855e-06
Ukraine,92,2.100799319889055e-06
Russian Federation,282,1.9658515414290734e-06
South Korea,94,1.8166049909946638e-06
Uruguay,6,1.7511805875794597e-06
Argentina,78,1.7027315765698634e-06
Japan,198,1.5754096942421792e-06
Bahrain,2,1.3668064226233798e-06
Czech Republic,14,1.3326007836454094e-06
United Arab Emirates,10,1.0677891265965449e-06
Kazakhstan,20,1.052576844951431e-06
Costa Rica,4,7.761027109849772e-07
Thailand,52,7.262457954034591e-07
Taiwan,14,5.939753924480271e-07
Mexico,74,5.840331431547787e-07
Indonesia,156,5.698563710988852e-07
Iraq,24,5.512984088241558e-07
Saudi Arabia,18,5.006898950431589e-07
Belarus,4,4.282511273175613e-07
Peru,14,4.1523963879964777e-07
Vietnam,40,4.103909806158079e-07
Philippines,42,3.688082106683079e-07
Slovakia,2,3.6715794235143e-07
Paraguay,2,2.9833830041742004e-07
Colombia,12,2.329347987157994e-07
Egypt,24,2.196551491038372e-07
India,258,1.8329541602419195e-07
Uzbekistan,4,1.1456361287809572e-07
Bangladesh,14,8.266597729539962e-08
Iran,6,6.824119422453847e-08
Pakistan,12,5.185777967623347e-08
Algeria,2,4.5271433822591525e-08
China,40,2.8321391146733127e-08
