Country Name,num,res
Monaco,4,0.000109033
Australia,1792,6.98E-05
Montenegro,42,6.78E-05
Slovenia,112,5.31E-05
Finland,280,5.05E-05
Iceland,18,4.83E-05
Canada,1696,4.43E-05
Croatia,154,3.95E-05
New Zealand,192,3.75E-05
Norway,202,3.73E-05
United States,10038,3.02E-05
Lithuania,80,2.86E-05
Estonia,38,2.86E-05
United Kingdom,1658,2.46E-05
Sweden,250,2.40E-05
Latvia,44,2.33E-05
Serbia,146,2.14E-05
Cyprus,26,2.09E-05
Ireland,100,1.99E-05
Netherlands,322,1.84E-05
Bosnia and Herzegovina,60,1.83E-05
Hungary,158,1.63E-05
Greece,166,1.56E-05
Bhutan,12,1.54E-05
Bulgaria,88,1.28E-05
Israel,118,1.26E-05
Slovakia,68,1.25E-05
Austria,110,1.23E-05
Belgium,132,1.14E-05
Poland,396,1.05E-05
Germany,856,1.03E-05
Switzerland,88,1.01E-05
Luxembourg,6,9.37E-06
Denmark,54,9.22E-06
Uruguay,28,8.17E-06
Puerto Rico,26,7.97E-06
Macedonia,16,7.75E-06
Czech Republic,80,7.61E-06
Portugal,78,7.55E-06
Singapore,40,7.33E-06
Romania,134,7.01E-06
Russian Federation,818,5.70E-06
Ukraine,208,4.75E-06
France,296,4.37E-06
Georgia,14,3.77E-06
Costa Rica,18,3.49E-06
Macao,2,2.91E-06
Albania,8,2.85E-06
Argentina,130,2.84E-06
Italy,154,2.61E-06
Spain,110,2.32E-06
Moldova,6,2.29E-06
Belarus,20,2.14E-06
Panama,6,1.38E-06
El Salvador,8,1.27E-06
Taiwan,28,1.19E-06
Brazil,234,1.09E-06
Kazakhstan,20,1.05E-06
South Korea,54,1.04E-06
Mexico,114,9.00E-07
Kyrgyzstan,6,8.97E-07
Tunisia,10,8.15E-07
Chile,14,7.18E-07
Thailand,50,6.98E-07
Paraguay,4,5.97E-07
Turkey,48,5.66E-07
Japan,70,5.57E-07
Saudi Arabia,18,5.01E-07
Philippines,52,4.57E-07
Ecuador,8,4.49E-07
United Arab Emirates,4,4.27E-07
Peru,14,4.15E-07
South Africa,24,4.04E-07
Dominican Republic,4,3.60E-07
Bolivia,4,3.31E-07
Hong Kong,2,2.70E-07
Vietnam,26,2.67E-07
Malaysia,8,2.38E-07
Bangladesh,28,1.65E-07
Cambodia,2,1.21E-07
Guatemala,2,1.17E-07
Indonesia,30,1.10E-07
Syria,2,9.38E-08
Algeria,4,9.05E-08
Egypt,8,7.32E-08
Venezuela,2,7.09E-08
Nepal,2,6.66E-08
Ethiopia,8,6.65E-08
Iraq,2,4.59E-08
Colombia,2,3.88E-08
India,46,3.27E-08
Pakistan,4,1.73E-08
China,14,9.91E-09
Unknown,4,
U.S. Virgin Islands,8,
